,url,name,price,stock
103,https://www.bol.com/nl/nl/p/lenovo-thinkvision-e24-28-60-5-cm-1920-x-1080-pixels-full-hd-led-zwart/9300000059514551/,"Lenovo ThinkVision E24-28 60,5 cm (23.8"") 1920 x 1","139
  -","Op voorraad
"
104,https://www.bol.com/nl/nl/p/lg-27gn850-ultragear-qhd-nano-ips-gaming-monitor-144hz-27-inch/9300000005468213/,LG 27GN850 Ultragear - QHD Nano-IPS Gaming Monitor,"399
  -","Op voorraad
"
105,https://www.bol.com/nl/nl/p/lg-27gn800-ultragear-qhd-ips-gaming-monitor-144hz-27-inch/9300000021541241/,LG 27GN800 Ultragear - QHD IPS Gaming Monitor - 14,"314
  -",Uiterlijk 20
106,https://www.bol.com/nl/nl/p/dell-p2719h-full-hd-ips-monitor-27-inch/9200000095973459/,"Dell P2719H - Full HD IPS Monitor - 27 inch
In hoo","311
  -","Op voorraad
"
107,https://www.bol.com/nl/nl/p/aoc-i1601fwux-full-hd-ips-usb-c-monitor-15-6-inch/9200000094109858/,AOC I1601FWUX - Full HD IPS USB-C Monitor - 15.6 I,"199
  -","Op voorraad
"
108,https://www.bol.com/nl/nl/p/aoc-q27g2u-qhd-va-144hz-gaming-monitor-27-inch/9200000128093524/,AOC Q27G2U - QHD VA 144Hz Gaming Monitor - 27 Inch,"279
  -","Op voorraad
"
109,https://www.bol.com/nl/nl/p/samsung-lc34h890wguxen-qhd-va-curved-ultrawide-usb-c-monitor-65w-34-inch/9300000001459703/,Samsung LC34H890WGUXEN - QHD VA Curved UltraWide U,"489
  -","Op voorraad
"
110,https://www.bol.com/nl/nl/p/aoc-24g2sae-full-hd-va-165hz-gaming-monitor-24-inch/9300000047086005/,AOC 24G2SAE - Full HD VA 165Hz Gaming Monitor - 24,"169
  -","Op voorraad
"
111,https://www.bol.com/nl/nl/p/aoc-16t2-full-hd-ips-portable-touch-screen-usb-c-monitor-ingebouwde-accu-15-inch/9300000010303649/,AOC 16T2 - Full HD IPS Portable Touch Screen USB-C,"309
  -","Op voorraad
"
112,https://www.bol.com/nl/nl/p/lg-ergo-32un88a-4k-ips-usb-c-monitor-60w-32-inch/9300000005468217/,LG Ergo 32UN88A - 4K IPS USB-C Monitor - 60w - 32 ,"639
  -","Op voorraad
"
113,https://www.bol.com/nl/nl/p/qumax-portable-monitor-proscreen-2-0-15-6-inch-draagbare-monitor-full-hd-hdmi-usb-c-inclusief-hoes-standaard-multifunctioneel-ingebouwde-speakers/9300000105042095/,Qumax Portable Monitor PROscreen 2.0 – 15.6 inch D,"199
  95","Op voorraad
"
114,https://www.bol.com/nl/nl/p/samsung-odyssey-g9-neo-qhd-mini-led-curved-ultrawide-240hz-gaming-monitor-hdmi-2-1-49-inch/9300000045642554/,Samsung Odyssey G9 Neo - QHD Mini LED Curved Ultra,"1799
  -","Op voorraad
"
115,https://www.bol.com/nl/nl/p/lg-35wn73a-qhd-va-curved-ultrawide-monitor-usb-c-35-inch/9300000005468214/,LG 35WN73A - QHD VA Curved UltraWide Monitor – USB,"489
  -","Op voorraad
"
116,https://www.bol.com/nl/nl/p/aoc-24g2u-full-hd-ips-144hz-gaming-monitor-24-inch/9200000119843380/,AOC 24G2U - Full HD IPS 144Hz Gaming Monitor - 24 ,"203
  49","Op voorraad
"
117,https://www.bol.com/nl/nl/p/lenovo-thinkvision-e24-28-60-5-cm-1920-x-1080-pixels-full-hd-led-zwart/9300000061676046/,"Lenovo ThinkVision E24-28 60,5 cm (23.8"") 1920 x 1","145
  -","Op voorraad
"
118,https://www.bol.com/nl/nl/p/iiyama-prolite-xub2792qsn-b1-qhd-ips-usb-c-monitor-65w-rj45-27-inch/9300000029191146/,iiyama ProLite XUB2792QSN-B1 - QHD IPS USB-C Monit,"370
  42","Op voorraad
"
